Inq	Pessoas	P_menos10anos	P_10a14anos	P_15a18anos	P_mais18anos	Alunos - viajam acompanhados ou sozinhos	Alunos - modo de transporte	Automoveis	Motas	Desp_auto	Est_privado	Lug_Dispõe	Lug_Utiliza	Alug_estac	CartaCond	Inq_idade	Inq_sexo	Pess_Emprego	Pess_carta	Inq_Instrucao	Inq_profissão	Trab_conta	Princ_cont	PrincCont_Idade	PrincCont_Sexo	PrincCont_NivInst	PrincCont_Profissão	PrincCont_Conta PO	Rendimento	STATUS SOCIAL	Coord_X	Coord_Y	GrauGeoreferenciacao	Tipo	Zona	Concelho	Tipo_Inq	Coef_Exp	SumViagens	Polo Universitário	Ramal da Lousã	Auxiliar	Inquéritos Válidos FINAIS
1	2	0	0	0	2	0	0	1	98	98	2	3	1	0	3	43	2	1	1	4	11	2	2	55	1	4	10	99	99	C	188 693	357 086	4	R	29	Lousã	2	21.3	2			2 | 2	1
2	3	0	0	0	3	0	0	1	98	98	2	1	1	0	2	57	1	2	1	6	10	0	1				10		4	D	180 151	354 496	4	R	35	Miranda do Corvo	2	33.8	1			3 | 1	1
3	1	0	0	0	1	0	0	98	98	98	1			1	3	80	2	98	98	6	10	0	1				10		99	D	192 253	372 653	1	R	113	Penacova	2	31.8	0			4 | 2	1
4	4	1	0	1	2	0	0	1	98	98	2	1	1	0	2	38	2	2	2	5	11	2	1				11		1	D	164 979	352 702	4	R	39	Condeixa-a-Nova	2	30.4	2			2 | 2	1
5	2	0	0	0	2	0	0	98	98	98	1			1	3	103	2	98	98	7	10	0	1				10		99	D	191 733	372 729	4	R	113	Penacova	2	31.8	0			4 | 2	1
6	5	0	1	1	3	1	5	3	2	98	2	3	2	0	2	41	2	1	3	3	9	2	2	44	1	3	12	1	2	D	167 915	386 411	4	R	108	Anadia	2	39.9	6			2 | 2	1
7	2	0	0	0	2	0	0	1	98	98	2	2	1	0	2	65	2	98	1	7	10	0	2	65	1	7	10	2	1	D	180 151	354 496	4	R	35	Miranda do Corvo	2	17.1	2			4 | 2	1
8	5	0	0	0	5	0	0	98	1	98	1			1	3	52	2	4	4	7	15	0	2	55	1	7	6	1	1	D	165 634	350 228	4	R	39	Condeixa-a-Nova	2	34.9	2			3 | 2	1
10	1	0	0	0	1	0	0	98	98	98	2	1	98	0	3	69	2	98	98	7	15	0	1				15		1	D	192 184	372 614	1	R	113	Penacova	2	31.8	1			4 | 2	1
11	2	0	0	0	2	0	0	1	98	98	2	1	1	0	3	82	2	98	1	6	10	0	2	83	1	6	10	1	99	D	190 217	368 804	4	R	113	Penacova	2	31.8	0			4 | 2	1
