Inq	Viagem	P1-Iniciou a viagem em casa	Origem_X	Origem_Y	Origem_Georef	Origem_Tipo	Origem_Zona	Origem_Conc	P3-Motivo da viagem	P4-Viagem terminou em casa	Destino_X	Destino_Y	Destino_Georef	Destino_Tipo	Destino_Zona	Destino_Conc	Hora de Inicio	Hora de Fim	Duração	P6-Mudou alguma vez de modo de transporte	P6_Vezes que mudou de modo de transporte	P9-Modo de transporte utilizado para chegar ao destino	Modo de transporte agregado	P10-Local de estacionamento	P11_a-Preço pago pelo estacionamento (base diária)	P11_b-Preço pago pelo estacionamento (base mensal)	P12-Automóvel disponível	P13_a-Primeira Razão da escolha do modo a pé / TC	P13_b-segunda Razão da escolha do modo a pé / TC	P.14-Título de transporte	P.14a-Tipo de passe	Classifica Companhia	P15_a-Fez a viagem sempre acompanhado	P15_b-Fez algum desvio ao seu percurso por ir acompanhado	P15_c_Frequencia_Viagem	Tipo de inquérito	Zona_Residencia	Coeficientes Expansão Total	Hora de Inicio	Hora de Fim	Duração	Distancia	Viagens	Velocidades
1	1	1	188693.48	357086.2	4	R	29	Lousã	1	2	174826.7	360335.18	4	U	302	Coimbra	07:30	08:30	1:00	2	1	12	TC				2			2		1			1	2	29	21.3	450	510	60	14	2	14.24
1	2	2	174826.7	360335.18	4	U	302	Coimbra	3	1	188693.48	357086.2	4	R	29	Lousã	17:30	18:20	0:50	2	1	5	Outros				2					1			1	2	29	21.3	1 050	1 100	50	14	2	17.09
2	1	1	180150.83	354496	4	R	35	Miranda do Corvo	15	1	180150.83	354496	4	R	35	Miranda do Corvo	10:30	11:20	00:50	1	0	1	Pé				1	8	99			4	2	1	1	2	35	33.8	630	680	50	0	1	0
4	1	1	164979.47	352702.44	4	R	39	Condeixa-a-Nova	1	2	168860.49	349502.61	3	U	43	Condeixa-a-Nova	08:00	8:10	00:10	1	0	3	TI	1								1			1	2	39	30.4	480	490	10	5	2	30.18
4	2	2	168860.49	349502.61	3	U	43	Condeixa-a-Nova	3	1	164979.47	352702.44	4	R	39	Condeixa-a-Nova	16:00	16:10	00:10	1	0	3	TI	5								1			1	2	39	30.4	960	970	10	5	2	30.18
6	1	1	167914.56	386411.05	4	R	108	Anadia	7	2	161622.11	375064.86	3	U	6	Cantanhede	07:45	08:20	0:35	1	0	3	TI	99								3	1	1	1	2	108	39.9	465	500	35	13	6	22.24
6	2	2	161622.11	375064.86	3	U	6	Cantanhede	3	1	167914.56	386411.05	4	R	108	Anadia	08:25	08:45	0:20	1	0	3	TI	5								1			1	2	108	39.9	505	525	20	13	6	38.92
6	3	1	167914.56	386411.05	4	R	108	Anadia	1	2	167914.56	386411.05	4	R	108	Anadia	09:10	09:15	0:05	1	0	5	Transporte Empresa/Escola									1			1	2	108	39.9	550	555	5	0	6	0
6	4	2	167914.56	386411.05	4	R	108	Anadia	3	1	167914.56	386411.05	4	R	108	Anadia	12:00	12:06	00:06	1	0	5	Transporte Empresa/Escola									1			1	2	108	39.9	720	726	6	0	6	0
6	5	1	167914.56	386411.05	4	R	108	Anadia	1	2	167914.56	386411.05	4	R	108	Anadia	14:50	14:56	0:06	1	0	5	Transporte Empresa/Escola									1			1	2	108	39.9	890	896	6	0	6	0
