Inq	Viagem	P1-Iniciou a viagem em casa	Origem_X	Origem_Y	Origem_Georef	Origem_Tipo	Origem_Zona	Origem_Conc	P3-Motivo da viagem	P4-Viagem terminou em casa	Destino_X	Destino_Y	Destino_Georef	Destino_Tipo	Destino_Zona	Destino_Conc	Hora de Inicio	Hora de Fim	Duração	P6-Mudou alguma vez de modo de transporte	P6_Vezes que mudou de modo de transporte	P9-Modo de transporte utilizado para chegar ao destino	Modo de transporte agregado	P10-Local de estacionamento	P11_a-Preço pago pelo estacionamento (base diária)	P11_b-Preço pago pelo estacionamento (base mensal)	P12-Automóvel disponível	P13_a-Primeira Razão da escolha do modo a pé / TC	P13_b-segunda Razão da escolha do modo a pé / TC	P.14-Título de transporte	P.14a-Tipo de passe	Classifica Companhia	P15_a-Fez a viagem sempre acompanhado	P15_b-Fez algum desvio ao seu percurso por ir acompanhado	P15_c_Frequencia_Viagem	Tipo de inquérito	Zona_Residencia	Coef_Exp	Hora de Inicio	Hora de Fim	Duração	Distancia	Viagens	Velocidades
1195	1	1	154318.73	371656.66	4	R	105	Cantanhede	10	2	157005.33	372980.61	3	R	105	Cantanhede	14:30	14:40	0:10	1	0	4	TI	99								4	1	2	3	2	105	40.7	870	880	10	3	3	17.97
1236	1	1	164952.9	370227.7	1	R	9	Cantanhede	1	2	168033.86	366546.78	3	R	8	Cantanhede	5:30	5:35	0:05	1	0	3	TI	5								1			1	2	9	27.4	330	335	5	5	2	57.6
1236	2	2	168033.86	366546.78	3	R	8	Cantanhede	3	1	164952.9	370227.7	1	R	9	Cantanhede	14:00	14:05	0:05	1	0	3	TI	5								1			1	2	9	27.4	840	845	5	5	2	57.6
1244	1	1	158439.25	369279.19	4	R	105	Cantanhede	9	2	156981.19	373218.57	3	R	105	Cantanhede	9:00	9:10	0:10	1	0	3	TI	5								1			3	2	105	40.7	540	550	10	4	2	25.2
1244	2	2	156981.19	373218.57	3	R	105	Cantanhede	3	1	158439.25	369279.19	4	R	105	Cantanhede	11:00	11:10	0:10	1	0	3	TI	5								1			3	2	105	40.7	660	670	10	4	2	25.2
2315	1	1	163809.48	371477.56	4	R	9	Cantanhede	17	2	164993.37	369764.54	4	R	9	Cantanhede	14:00	14:20	0:20	1	0	1	Pé				1	3	7			4		2	2	2	9	27.6	840	860	20	2	2	6.25
2315	2	2	164993.37	369764.54	4	R	9	Cantanhede	3	1	163809.48	371477.56	4	R	9	Cantanhede	16:00	16:20	0:20	1	0	1	Pé				1	3	7			4		2	2	2	9	27.6	960	980	20	2	2	6.25
5851	1	1	165051.41	369849.31	2	R	9	Cantanhede	1	2	168033.86	366546.78	3	R	8	Cantanhede	13:40	13:45	0:05	1	0	2	TI	5	0	0						1			1	2	9	27.4	820	825	5	4	2	53.4
5851	2	2	168033.86	366546.78	3	R	8	Cantanhede	3	1	165051.41	369849.31	2	R	9	Cantanhede	22:00	22:05	0:05	1	0	2	TI	5	0	0						1			1	2	9	27.4	1 320	1 325	5	4	2	53.4
7490	1	1	185197.57	362620.02	4	R	25	Vila Nova de Poiares	11	2	163809.48	371477.56	4	R	9	Cantanhede	7:00	8:30	1:30	1	0	4	TI	5	0	0						4		1	3	2	25	42.1	420	510	90	23	2	15.43
7622	1	1	159810.98	371732.92	2	R	105	Cantanhede	1	2	164993.37	369764.54	4	R	9	Cantanhede	8:45	9:00	0:15	1	0	3	TI	1	0	0						3		2	1	2	105	52.8	525	540	15	6	2	22.17
7622	2	2	164993.37	369764.54	4	R	9	Cantanhede	3	1	159810.98	371732.92	2	R	105	Cantanhede	18:00	18:15	0:15	1	0	3	TI	5	0	0						3		2	1	2	105	52.8	1 080	1 095	15	6	2	22.17
9128	2	2	171355.13	370847.87	4	R	111	Mealhada	3	1	163809.85	371144.38	2	R	9	Cantanhede	19:00	19:10	0:10	1	0	3	TI	5	0	0						1			1	2	9	16.6	1 140	1 150	10	8	2	45.31
10234	1	1	164728.21	369628.28	2	R	9	Cantanhede	1	2	168033.86	366546.78	3	R	8	Cantanhede	5:30	5:35	0:05	1	0	3	TI	5								1			1	2	9	32.4	330	335	5	5	2	54.23
10234	2	2	168033.86	366546.78	3	R	8	Cantanhede	3	1	164728.21	369628.28	2	R	9	Cantanhede	14:00	14:05	0:05	1	0	3	TI	5								1			1	2	9	32.4	840	845	5	5	2	54.23
10351	1	1	164728.21	369628.28	2	R	9	Cantanhede	1	2	168033.86	366546.78	3	R	8	Cantanhede	5:30	5:35	0:05	1	0	3	TI	5								1			1	2	9	32.4	330	335	5	5	2	54.23
10351	2	2	168033.86	366546.78	3	R	8	Cantanhede	3	1	164728.21	369628.28	2	R	9	Cantanhede	14:00	14:05	0:05	1	0	3	TI	5								1			1	2	9	32.4	840	845	5	5	2	54.23
10366	1	1	188655.02	360085.92	5	U	25	Vila Nova de Poiares	11	2	163809.48	371477.56	4	R	9	Cantanhede	7:00	8:30	1:30	1	0	4	TI		0	0						4		1	3	2	25	42.1	420	510	90	27	2	18.22
10839	1	1	157015.89	373088.16	2	R	105	Cantanhede	1	2	164993.37	369764.54	4	R	9	Cantanhede	8:45	9:00	0:15	1	0	3	TI	1	0	0						3		2	1	2	105	40.7	525	540	15	9	2	34.57
10839	2	2	164993.37	369764.54	4	R	9	Cantanhede	3	1	157015.89	373088.16	2	R	105	Cantanhede	18:00	18:15	0:15	1	0	3	TI	5	0	0						3		2	1	2	105	40.7	1 080	1 095	15	9	2	34.57
11420	1	1	176257.05	378226.37	1	R	20	Mealhada	1	2	167736.55	367064.93	3	U	8	Cantanhede	8:45	9:15	0:30	1	0	3	TI	1	0	0						1			1	2	20	90.5	525	555	30	14	4	28.08
12157	2	2	171409.21	370675.97	3	R	111	Mealhada	3	1	166105	370596.22	4	R	9	Cantanhede	17:35	17:50	0:15	1	0	3	TI	5	0	0						1			1	2	9	32.8	1 055	1 070	15	5	2	21.22
12192	1	1	166798.12	367216.79	1	U	8	Cantanhede	9	2	167063.23	367871.43	3	R	8	Cantanhede	8:00	8:08	0:08	1	0	3	TI	1	0	0						4		2	3	2	8	40.8	480	488	8	1	4	5.3
12192	2	2	167063.23	367871.43	3	R	8	Cantanhede	3	1	166798.12	367216.79	1	U	8	Cantanhede	11:15	11:23	0:08	1	0	3	TI	5	0	0						4		2	3	2	8	40.8	675	683	8	1	4	5.3
38	2	2	176223.45	361388.84	3	U	312	Coimbra	7	2	172867.83	360616.04	3	U	328	Coimbra	17:30	17:40	0:10	1	0	3	TI	5								1			1	2	42	25.3	1 050	1 060	10	3	3	20.66
56	2	2	176223.45	361388.84	3	U	312	Coimbra	4	2	173561.55	360431.34	3	U	307	Coimbra	11:30	11:40	0:10	1	0	3	TI	5								1			3	2	39	30.4	690	700	10	3	3	16.97
