service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
FE-MACOR,0,0,0,1,0,0,0,20230901,20240831
FE-2,1,0,0,0,0,0,0,20230901,20240831
FE-3,0,1,0,0,0,0,0,20230901,20240831
FE-4,0,0,1,0,0,0,0,20230901,20240831
FE-5,0,0,0,1,0,0,0,20230901,20240831
FE-6,0,0,0,0,1,0,0,20230901,20240831
EQA-5,0,0,0,1,0,0,0,20230901,20240831
A-DF,0,0,0,0,0,0,1,20230901,20240831
XJA1-U,1,1,1,1,1,0,0,20230901,20240831
FEQA-5,0,0,0,1,0,0,0,20230901,20240831
FE-2346,1,1,1,0,1,0,0,20230901,20240831
E-3456,0,1,1,1,1,0,0,20230901,20240831
JA-U,1,1,1,1,1,0,0,20230901,20240831
JA-S,0,0,0,0,0,1,0,20230901,20240831
V-U,1,1,1,1,1,0,0,20230901,20240831
A-2,1,0,0,0,0,0,0,20230901,20240831
A-3,0,1,0,0,0,0,0,20230901,20240831
A-4,0,0,1,0,0,0,0,20230901,20240831
A-5,0,0,0,1,0,0,0,20230901,20240831
E-46,0,0,1,0,1,0,0,20230901,20240831
A-6,0,0,0,0,1,0,0,20230901,20240831
E-3,0,1,0,0,0,0,0,20230901,20240831
E-2,1,0,0,0,0,0,0,20230901,20240831
E-5,0,0,0,1,0,0,0,20230901,20240831
E-4,0,0,1,0,0,0,0,20230901,20240831
A-6ou5F,0,0,0,0,1,0,0,20230901,20240831
E-6,0,0,0,0,1,0,0,20230901,20240831
E-MPPS,0,0,0,1,0,0,0,20230901,20240831
FE-2356,1,1,0,1,1,0,0,20230901,20240831
E-2456,1,0,1,1,1,0,0,20230901,20240831
A-Dou2F,0,0,0,0,0,0,1,20230901,20240831
A-S,0,0,0,0,0,1,0,20230901,20240831
A-U,1,1,1,1,1,0,0,20230901,20240831
E-U,1,1,1,1,1,0,0,20230901,20240831
A-2ou3F,1,0,0,0,0,0,0,20230901,20240831
EQB-5,0,0,0,1,0,0,0,20230901,20240831
E-246,1,0,1,0,1,0,0,20230901,20240831
Dias Úteis,1,1,1,1,1,0,0,20220508,20230508
V-SDF,0,0,0,0,0,1,1,20230901,20240831
Sábados,0,0,0,0,0,1,0,20220508,20230508
AS2-MOHP,1,0,0,0,0,0,0,20230901,20240831
E-2345,1,1,1,1,0,0,0,20230901,20240831
E-2346,1,1,1,0,1,0,0,20230901,20240831
A-MACOR,0,0,0,1,0,0,0,20230901,20240831
FEQB-5,0,0,0,1,0,0,0,20230901,20240831
FE-MPPS,0,0,0,1,0,0,0,20230901,20240831
FE-U,1,1,1,1,1,0,0,20230901,20240831
JA-DF,0,0,0,0,0,0,1,20230901,20240831
E-26,1,0,0,0,1,0,0,20230901,20240831
E-235,1,1,0,1,0,0,0,20230901,20240831
JA-2356,1,1,0,1,1,0,0,20230901,20240831
A-36,0,1,0,0,1,0,0,20230901,20240831
E-MACOR,0,0,0,1,0,0,0,20230901,20240831
Domingos e Feriados,0,0,0,0,0,0,1,20220508,20230508
E-2356,1,1,0,1,1,0,0,20230901,20240831
A-MPPS,0,0,0,1,0,0,0,20230901,20240831
