"stop_id","stop_lon","stop_lat","stop_name"
"ohp_111","-7.895859","40.347993","Quinta da Costa (X)"
"ohp_110","-7.893198","40.358775","Lage de Pereira (X)"
"ohp_113","-7.883852","40.333586","Nogueira do Cravo (Bairro Malhada)"
"ohp_115","-7.892805","40.319394","Galizes"
"ohp_114","-7.887724","40.328859","Vale D. Clara (X)"
"ohp_116","-7.867148","40.332676","Senhor das Almas"
"pps_005","-8.004361","40.043557","Carvoeiro"
"1","-8.439551","40.22257","Rua do Padrão - Est. Velha"
"pps_004","-8.005354","40.048432","Carvoeiro (X)"
"2","-8.427882","40.254709","Rua Henrique Barros - Quinta do Murtal"
"pps_007","-8.001919","40.063917","Carvalho (Piscina)"
"3","-8.435414","40.168269","Rua St. Isabel - Sent. Carvalhais"
"pps_006","-8.002484","40.012608","Vale Pereiras (X)"
"4","-8.434506","40.167161","Rua da Chainça - Sent. M. dos Pereiros"
"pps_009","-7.991821","40.006418","Portela de Maria Gomes"
"5","-8.500362","40.200105","Rua Nova do Barreiro - Taveiro - Sent. Escola"
"pps_008","-7.999466","40.049188","Ramalheira"
"6","-8.500739","40.19986","Rua Nova do Barreiro - Taveiro - Sent. Coimbra"
"7","-8.496693","40.199495","Rua de Stª Eufémia (paragem 1) - Cimo da Ribeira - Sent. Escola"
"8","-8.496579","40.199892","Rua de Stª Eufémia (paragem 1) - Cimo da Ribeira - Sent. Coimbra"
"9","-8.49616","40.197887","Rua de Stª Eufémia (paragem 2) - Cimo da Ribeira - Sent. Escola"
"pps_001","-8.015435","40.110271","Catraia do Rolão"
"pps_003","-8.007997","40.107616","Catraia do Farrôpo"
"pps_002","-8.008856","40.059195","Carvalho (X Carvoeiro)"
"ohp_140","-7.931771","40.318201","Lourosa (Igreja Matriz)"
"ohp_142","-7.941186","40.325413","Quinta das Medas (Quinta)"
"ohp_141","-7.934946","40.31735","Lourosa (Junta de Freguesia)"
"1000","-8.484604","40.204907","Rua Central - Apeadeiro dos Casais - Sent. Taveiro"
"ohp_144","-7.971215","40.321541","Casal do Abade (X)"
"sre_210","-8.698425","40.050581","Cabeça Carvalha"
"ohp_143","-7.945947","40.32403","Quinta das Medas (Capela)"
"ohp_145","-7.947538","40.329021","Poço do Gato"
"sre_207","-8.709644","40.053401","Formigal"
"sre_208","-8.709448","40.053434","Formigal"
"sre_209","-8.698846","40.05061","Cabeça Carvalha"
"ohp_131","-7.903865","40.294335","Avô (Igreja)"
"1011","-8.369647","40.204104","Rua de S. Bento - cz. trav. Vale do Melo"
"1010","-8.377258","40.211811","Rua da Mata - sent. Asc."
"ohp_132","-7.905567","40.293358","Avô (Castelo)"
"sre_200","-8.728124","40.063766","Vinha da Rainha"
"sre_201","-8.723771","40.061005","Vinha da Rainha (EB1)"
"sre_202","-8.723393","40.060956","Vinha da Rainha (EB1)"
"sre_203","-8.72058","40.05867","Casal dos Bacelos (X)"
"sre_204","-8.720254","40.058654","Casal dos Bacelos (X)"
"ohp_139","-7.904793","40.315321","Vendas de Galizes (Fonte d'Arcada)"
"sre_205","-8.714295","40.05557","Formigal (Parque de São João)"
"ohp_138","-7.896312","40.315118","Vendas de Galizes (Quebra-Costas)"
"sre_206","-8.714262","40.055643","Formigal (Parque de São João)"
"1008","-8.398592","40.210522","Rua António Jardim (5)"
"1007","-8.399027","40.212698","Rua António Jardim (3)"
"1006","-8.397921","40.214943","Rua António Jardim (2)"
"1005","-8.399152","40.21667","Rua António Jardim (1)"
"1004","-8.395008","40.252572","Rua 25 Abril - Vale da Luz - Sent. Casal da Rosa"
"1003","-8.397206","40.258068","Rua das Paredes 1 - Sent. Eiras"
"1002","-8.484445","40.204882","Rua Central - Apeadeiro dos Casais Sent. Coimbra"
"1001","-8.484963","40.203143","Variante Nova - Casais -sent. Cemiterio"
"1009","-8.404266","40.203689","Rua João de Deus Ramos"
"pcv_121","-8.380709","40.285052","Mata Maxial"
"pcv_122","-8.306064","40.286055","Casal Santo Amaro"
"pcv_123","-8.305972","40.286103","Casal Santo Amaro"
"pcv_124","-8.323847","40.286352","Gavinhos (X)"
"pcv_120","-8.321873","40.284818","Gavinhos (X Póvoa)"
"1022","-8.43546","40.253676","R. José Leite de Vasconcelos - Stª Apolónia - Sent. Ponte Eiras"
"pcv_129","-8.249482","40.288104","Miro"
"1021","-8.443805","40.208966","José Bonifácio A. Silva, Av. (forum - Bombas) - Sent. Pollo Ii"
"1020","-8.444698","40.20975","José Bonifácio A. Silva, Av. (forum - Bombas) - Sent. Centro Saúde Stª Clara"
"pcv_125","-8.323711","40.28652","Gavinhos (X)"
"pcv_126","-8.336305","40.287099","Figueira do Lorvão (Louçais)"
"pcv_127","-8.336599","40.287127","Figueira do Lorvão (Louçais)"
"pcv_128","-8.249508","40.288041","Miro"
"1019","-8.417331","40.252714","Rua da Tojeira"
"pps_038","-7.839646","40.067036","Brejo de Cima"
"1018","-8.416097","40.251317","Rua da Oureça"
"pps_037","-7.841493","40.084363","Souto do Brejo"
"1017","-8.415315","40.249418","Variante de Eiras 1 - Sent. S. Paulo de Frades"
"1016","-8.426316","40.222245","Estrada de Coselhas"
"pps_039","-7.829141","40.07057","Brejo de Baixo"
"1015","-8.386021","40.215599","Rua António Neves da Costa - 2"
"1014","-8.384597","40.216545","Rua António Neves da Costa - 1"
"1013","-8.381161","40.213376","Rua Eládio Alle Alvarez - 2"
"1012","-8.380317","40.211546","Rua Eládio Alle Alvarez - 1"
"pps_030","-7.901031","40.081426","Foz do Ribeiro (X)"
"pps_032","-7.871728","40.108819","Vidual (X)"
"pps_031","-7.882317","40.092001","Cabril"
"pps_034","-7.85452","40.065247","Relvinha"
"pps_033","-7.871235","40.113052","Vidual de Cima"
"pps_036","-7.842792","40.126994","Malhada do Rei"
"pps_035","-7.850304","40.089984","Casal da Lapa"
"pcv_132","-8.31024","40.292044","Casalito (X)"
"pcv_133","-8.310385","40.292225","Casalito (X)"
"pcv_134","-8.271221","40.293313","Carvalhal Mançores"
"pcv_135","-8.255633","40.29408","Miro (X N2)"
"pcv_130","-8.308922","40.290027","Bairro Novo"
"pps_050","-7.757162","40.098412","Pisão / Adurão (X)"
"pcv_131","-8.308761","40.290126","Bairro Novo"
"1033","-8.418156","40.164761","Marco dos Pereiros (centro - Rua da Portela) - Sent. Almalaguês"
"1032","-8.417705","40.165357","Marco dos Pereiros (centro - Rua da Portela) - Sent. Coimbra"
"1031","-8.422963","40.163742","Santa Luzia - Sent. M. dos Pereiros"
"1030","-8.423152","40.163856","Santa Luzia - Sent. Carvalhais"
