"route_id","trip_id","service_id"
"29","3640","Sábados"
"29B","3638","Sábados"
"51","2306","Dias Úteis"
"29","3639","Sábados"
"51B","2305","Dias Úteis"
"51","2304","Dias Úteis"
"51","2303","Dias Úteis"
"5004","5004-2-004-A-S-12h45-PraiadeMiraExte","A-S"
"51","2302","Dias Úteis"
"51","2301","Dias Úteis"
"51","2300","Dias Úteis"
"29","3630","Sábados"
"29","3631","Sábados"
"29","3632","Sábados"
"29","3633","Sábados"
"29","3634","Sábados"
"29","3635","Sábados"
"52PA","2309","Dias Úteis"
"7476","7476-1-001-E-U-07h45-FerrariadeSaoJo","E-U"
"52P","2308","Dias Úteis"
"29","3636","Sábados"
"29","3637","Sábados"
"52PA","2307","Dias Úteis"
"7431","7431-2-001-A-U-07h25-CoimbraPortagem","A-U"
"5210","5210-1-004-E-5-07h14-Relvas","E-5"
"29","3650","Sábados"
"29","3651","Sábados"
"52PA","2320","Dias Úteis"
"7242","7242-2-002-E-U-13h20-CoimbraRodoviar","E-U"
"5001","5001-1-004-E-U-09h00-CondeixaaNovaTe","E-U"
"29","3649","Sábados"
"52","2317","Dias Úteis"
"52","2316","Dias Úteis"
"103","1","Dias Úteis"
"103","2","Dias Úteis"
"52","2315","Dias Úteis"
"52","2314","Dias Úteis"
"103","3","Dias Úteis"
"103","4","Dias Úteis"
"52","2313","Dias Úteis"
"52P","2312","Dias Úteis"
"103","5","Dias Úteis"
"103","6","Dias Úteis"
"52PA","2311","Dias Úteis"
"52P","2310","Dias Úteis"
"103","7","Dias Úteis"
"103","8","Dias Úteis"
"29","3641","Sábados"
"29","3642","Sábados"
"103","9","Dias Úteis"
"29","3643","Sábados"
"29","3644","Sábados"
"29","3645","Sábados"
"29","3646","Sábados"
"29","3647","Sábados"
"52","2319","Dias Úteis"
"52PA","2318","Dias Úteis"
"29B","3648","Sábados"
"31","3660","Sábados"
"31","3661","Sábados"
"19T","3662","Sábados"
"32B","1000","Dias Úteis"
"53T","2331","Dias Úteis"
"52T","2330","Dias Úteis"
"7485","7485-1-003-E-U-07h55-SaoFrutuosoLade","E-U"
"52T","2328","Dias Úteis"
"52M","2327","Dias Úteis"
"52T","2326","Dias Úteis"
"52M","2325","Dias Úteis"
"52PA","2324","Dias Úteis"
"52","2323","Dias Úteis"
"52PA","2322","Dias Úteis"
"52","2321","Dias Úteis"
"29","3652","Sábados"
"30A","3653","Sábados"
"5208","5208-1-004-FE-U-08h10-MoitadaSerra","FE-U"
"30F","3654","Sábados"
"30F","3655","Sábados"
"30F","3656","Sábados"
"30F","3657","Sábados"
"30A","3658","Sábados"
"30A","3659","Sábados"
"52M","2329","Dias Úteis"
"5210","5210-2-008-FE-2346-18h20-ArganilCamara","FE-2346"
"36","3670","Sábados"
"36","3671","Sábados"
"36","3672","Sábados"
"36","3673","Sábados"
"12B","1011","Dias Úteis"
"53TA","2342","Dias Úteis"
"7243","7243-1-002-FE-U-07h00-SaoRomaoEscEvar","FE-U"
"12","1010","Dias Úteis"
"53T","2341","Dias Úteis"
"53","2340","Dias Úteis"
"7511","7511-2-004-E-U-18h15-PenacovaEB23S","E-U"
"12R","1008","Dias Úteis"
"53","2339","Dias Úteis"
"12R","1007","Dias Úteis"
"53","2338","Dias Úteis"
"32","1006","Dias Úteis"
"53","2337","Dias Úteis"
"32","1005","Dias Úteis"
"53A","2336","Dias Úteis"
"32R","1004","Dias Úteis"
"53","2335","Dias Úteis"
"32","1003","Dias Úteis"
"53T","2334","Dias Úteis"
"32","1002","Dias Úteis"
"53T","2333","Dias Úteis"
"32AA","1001","Dias Úteis"
"53T","2332","Dias Úteis"
"19T","3663","Sábados"
"19T","3664","Sábados"
"19T","3665","Sábados"
"19TG","3666","Sábados"
"36","3667","Sábados"
"36","3668","Sábados"
"5134","5134-1-003-E-U-08h30-ArazedeJardim","E-U"
"36","3669","Sábados"
"12","1009","Dias Úteis"
"36","3680","Sábados"
"36","3681","Sábados"
"36","3682","Sábados"
"36","3683","Sábados"
"36","3684","Sábados"
"13","1022","Dias Úteis"
"53T","2353","Dias Úteis"
"5519","5519-2-003-E-U-17h55-MontemoroVelhoS","E-U"
"5004","5004-1-008-A-DF-10h15-CoimbraRodoviar","A-DF"
"13","1021","Dias Úteis"
"53","2352","Dias Úteis"
"13","1020","Dias Úteis"
"53","2351","Dias Úteis"
"53","2350","Dias Úteis"
"5042","5042-1-002-A-U-14h05-CasaldoMinhoto","A-U"
"13","1019","Dias Úteis"
"13","1018","Dias Úteis"
"53","2349","Dias Úteis"
"13","1017","Dias Úteis"
"53T","2348","Dias Úteis"
"13","1016","Dias Úteis"
"53T","2347","Dias Úteis"
"21TD","1015","Dias Úteis"
"53","2346","Dias Úteis"
"21T","1014","Dias Úteis"
"53","2345","Dias Úteis"
"21TB","1013","Dias Úteis"
"53","2344","Dias Úteis"
"21TC","1012","Dias Úteis"
"53","2343","Dias Úteis"
"36","3674","Sábados"
"36","3675","Sábados"
"36","3676","Sábados"
"36","3677","Sábados"
"36","3678","Sábados"
"36","3679","Sábados"
"5508","5508-1-004-E-U-12h15-PortelaRuaCapel","E-U"
"5201","5201-1-002-A-U-06h43-AvoIgreja","A-U"
"7447","7447-2-006-E-U-17h00-PampilhosaEB1n2","E-U"
"5214","5214-2-001-E-U-17h15-ArganilEB23","E-U"
"36","3690","Sábados"
"36","3691","Sábados"
"36","3692","Sábados"
"36","3693","Sábados"
"36","3694","Sábados"
"37","3695","Sábados"
"13","1033","Dias Úteis"
"204A","2364","Dias Úteis"
"13","1032","Dias Úteis"
"204","2363","Dias Úteis"
"13B","1031","Dias Úteis"
"204","2362","Dias Úteis"
"13","1030","Dias Úteis"
"204A","2361","Dias Úteis"
"204A","2360","Dias Úteis"
"7437","7437-1-001-A-U-06h45-LorvaoJardim","A-U"
"13","1029","Dias Úteis"
"7440","7440-1-004-A-U-17h30-CoimbraPortagem","A-U"
"13","1028","Dias Úteis"
"204A","2359","Dias Úteis"
"13B","1027","Dias Úteis"
"204A","2358","Dias Úteis"
"13","1026","Dias Úteis"
"204","2357","Dias Úteis"
"13","1025","Dias Úteis"
"53B","2356","Dias Úteis"
"13","1024","Dias Úteis"
"53","2355","Dias Úteis"
"5501","5501-1-003-FE-U-08h15-FigueiradaFozTe","FE-U"
"13","1023","Dias Úteis"
"53T","2354","Dias Úteis"
"36","3685","Sábados"
"36","3686","Sábados"
"36","3687","Sábados"
"36","3688","Sábados"
"36","3689","Sábados"
"5212","5212-2-001-FE-5-12h05-ArganilCamara","FE-5"
"7472","7472-1-010-A-U-18h40-MirandadoCorvoM","A-U"
"20T","1044","Dias Úteis"
"100","2375","Dias Úteis"
"20","1043","Dias Úteis"
"100","2374","Dias Úteis"
"20","1042","Dias Úteis"
"100","2373","Dias Úteis"
"13TA","1041","Dias Úteis"
"100","2372","Dias Úteis"
"13T","1040","Dias Úteis"
"100","2371","Dias Úteis"
"100","2370","Dias Úteis"
"5166","5166-1-003-E-U-12h30-CantanhedeEstac","E-U"
"13T","1039","Dias Úteis"
"7438","7438-2-001-E-4-13h25-PenacovaEB23S","E-4"
"23A","1038","Dias Úteis"
"100","2369","Dias Úteis"
"23","1037","Dias Úteis"
"100","2368","Dias Úteis"
"13","1036","Dias Úteis"
"100","2367","Dias Úteis"
"13","1035","Dias Úteis"
"100","2366","Dias Úteis"
"13","1034","Dias Úteis"
"100","2365","Dias Úteis"
"37","3696","Sábados"
"37","3697","Sábados"
"5323","5323-2-002-E-4-17h35-MortaguaCentroE","E-4"
"37","3698","Sábados"
"37","3699","Sábados"
"7527","7527-2-005-FE-U-17h20-SantaCombaDaoHe","FE-U"
"5064","5064-2-002-E-U-18h40-FebresEB23","E-U"
"5208","5208-1-008-E-5-09h05-PontedeMucela","E-5"
"7475","7475-2-004-E-4-14h35-LousaEBn1","E-4"
"14T","1055","Dias Úteis"
"100","2386","Dias Úteis"
"14T","1054","Dias Úteis"
"100","2385","Dias Úteis"
"14T","1053","Dias Úteis"
"100","2384","Dias Úteis"
"14T","1052","Dias Úteis"
"100","2383","Dias Úteis"
"14T","1051","Dias Úteis"
"100","2382","Dias Úteis"
"14T","1050","Dias Úteis"
"100","2381","Dias Úteis"
"100A","2380","Dias Úteis"
"14T","1049","Dias Úteis"
"14T","1048","Dias Úteis"
"100","2379","Dias Úteis"
"14T","1047","Dias Úteis"
"100","2378","Dias Úteis"
"7442","7442-1-005-A-U-08h15-Marmeleira","A-U"
"14TA","1046","Dias Úteis"
"100","2377","Dias Úteis"
"20T","1045","Dias Úteis"
"100","2376","Dias Úteis"
"7488","7488-2-003-E-4-14h30-LousaEBn1","E-4"
"7472","7472-2-011-FE-U-17h20-CoimbraRodoviar","FE-U"
"14T","1066","Dias Úteis"
"244","2397","Dias Úteis"
"14T","1065","Dias Úteis"
"100A","2396","Dias Úteis"
"14T","1064","Dias Úteis"
"100","2395","Dias Úteis"
"14T","1063","Dias Úteis"
"100","2394","Dias Úteis"
"5507","5507-2-002-E-U-12h15-FigueiradaFozTe","E-U"
"14T","1062","Dias Úteis"
"100","2393","Dias Úteis"
"14T","1061","Dias Úteis"
"100","2392","Dias Úteis"
"14T","1060","Dias Úteis"
"100","2391","Dias Úteis"
"100","2390","Dias Úteis"
"5018","5018-1-002-A-U-07h30-CoimbraRodoviar","A-U"
"5033","5033-2-001-E-U-07h10-MiraEscolas","E-U"
"14T","1059","Dias Úteis"
"14T","1058","Dias Úteis"
"100","2389","Dias Úteis"
"14T","1057","Dias Úteis"
"100","2388","Dias Úteis"
"14T","1056","Dias Úteis"
"100","2387","Dias Úteis"
"7475","7475-1-006-A-U-17h40-MirandadoCorvoE","A-U"
"7443","7443-1-003-A-S-06h30-GranjaX","A-S"
"7572","7572-2-002-E-4-15h30-GoisEscolas","E-4"
"5210","5210-2-003-E-5-06h37-ArganilCamara","E-5"
"5F","4100","Domingos e Feriados"
"5F","4101","Domingos e Feriados"
"5F","4102","Domingos e Feriados"
"14T","1077","Dias Úteis"
"7436","7436-2-011-A-S-13h30-CoimbraRodoviar","A-S"
"14T","1076","Dias Úteis"
"7427","7427-2-002-A-MPPS-12h15-PampilhosadaSer","A-MPPS"
"14T","1075","Dias Úteis"
"14T","1074","Dias Úteis"
"14T","1073","Dias Úteis"
"14T","1072","Dias Úteis"
"14T","1071","Dias Úteis"
"14T","1070","Dias Úteis"
"5026","5026-2-003-E-4-13h40-EXPOFACIC","E-4"
"7442","7442-1-007-FE-U-12h40-PovoadoLoureiro","FE-U"
"7431","7431-2-008-A-U-16h15-CoimbraPortagem","A-U"
"5511","5511-2-003-E-U-17h05-FaiscasEB23","E-U"
"7495","7495-1-004-E-U-07h40-DornelasdoZezer","E-U"
"14T","1069","Dias Úteis"
"5501","5501-1-007-A-U-09h50-MontemoroVelhoN","A-U"
"14T","1068","Dias Úteis"
"244","2399","Dias Úteis"
"14T","1067","Dias Úteis"
"244","2398","Dias Úteis"
"5210","5210-2-006-E-2346-17h15-ArganilEB1","E-2346"
"14T","1080","Dias Úteis"
"5501","5501-1-023-A-S-19h00-FigueiradaFozTe","A-S"
"5F","4110","Domingos e Feriados"
"5F","4111","Domingos e Feriados"
"5F","4112","Domingos e Feriados"
"5F","4113","Domingos e Feriados"
"14T","1088","Dias Úteis"
"14T","1087","Dias Úteis"
"14T","1086","Dias Úteis"
"14T","1085","Dias Úteis"
"14T","1084","Dias Úteis"
"14T","1083","Dias Úteis"
"14T","1082","Dias Úteis"
"14T","1081","Dias Úteis"
"5064","5064-1-003-E-U-13h00-Criacao","E-U"
"7246","7246-2-002-E-U-17h35-TabuaEspacoCULT","E-U"
"5511","5511-2-001-E-U-08h25-FaiscasEB23","E-U"
"14T","1079","Dias Úteis"
"14T","1078","Dias Úteis"
"5F","4103","Domingos e Feriados"
"7403","7403-1-001-A-U-06h45-VendadasFigueir","A-U"
"5F","4104","Domingos e Feriados"
"2T","4105","Domingos e Feriados"
"2T","4106","Domingos e Feriados"
"5F","4107","Domingos e Feriados"
"5F","4108","Domingos e Feriados"
"5F","4109","Domingos e Feriados"
"14T","1091","Dias Úteis"
"14T","1090","Dias Úteis"
"5F","4120","Domingos e Feriados"
"5F","4121","Domingos e Feriados"
"5018","5018-1-004-A-U-11h20-CoimbraRodoviar","A-U"
"5T","4122","Domingos e Feriados"
"5T","4123","Domingos e Feriados"
"5T","4124","Domingos e Feriados"
"14T","1099","Dias Úteis"
"14T","1098","Dias Úteis"
"14T","1097","Dias Úteis"
"7427","7427-1-001-FE-MPPS-07h00-Meas","FE-MPPS"
