trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
106544,20:05:00,20:05:00,10907,1,,,,
106544,,,10919,2,,,,
106544,,,10896,3,,,,
106544,,,10897,4,,,,
106544,,,10898,5,,,,
106544,,,10895,6,,,,
106544,,,10496,7,,,,
106544,,,10900,8,,,,
106544,,,10901,9,,,,
106544,,,10752,10,,,,
106544,,,10748,11,,,,
106544,,,10746,12,,,,
106544,,,11223,13,,,,
106544,,,10715,14,,,,
106544,,,11227,15,,,,
106544,20:25:00,20:25:00,11222,16,,,,
106637,20:25:00,20:25:00,10426,1,,,,
106637,,,10434,2,,,,
106637,,,10435,3,,,,
106637,,,10427,4,,,,
106637,,,10436,5,,,,
106637,,,10442,6,,,,
106637,,,10439,7,,,,
106637,,,10559,8,,,,
106637,,,10440,9,,,,
106637,,,10445,10,,,,
106637,,,10447,11,,,,
106637,,,10449,12,,,,
106637,,,10612,13,,,,
106637,,,10614,14,,,,
106637,,,10598,15,,,,
106637,,,10615,16,,,,
106637,,,11221,17,,,,
106637,20:45:00,20:45:00,10622,18,,,,
107037,08:10:00,08:10:00,10596,1,,,,
107037,,,10611,2,,,,
107037,,,10584,3,,,,
107037,,,10446,4,,,,
107037,,,10441,5,,,,
107037,,,10556,6,,,,
107037,,,10572,7,,,,
107037,,,10573,8,,,,
107037,,,10574,9,,,,
107037,,,10432,10,,,,
107037,,,10433,11,,,,
107037,08:30:00,08:30:00,10426,12,,,,
107255,06:45:00,06:45:00,10426,1,,,,
107255,,,10434,2,,,,
107255,,,10435,3,,,,
107255,,,10427,4,,,,
107255,,,10436,5,,,,
107255,,,10442,6,,,,
107255,,,10439,7,,,,
107255,,,10559,8,,,,
107255,,,10440,9,,,,
107255,,,10445,10,,,,
107255,,,10447,11,,,,
107255,,,10449,12,,,,
107255,,,10612,13,,,,
107255,,,10604,14,,,,
107255,,,10605,15,,,,
107255,,,10716,16,,,,
107255,,,10728,17,,,,
107255,,,10743,18,,,,
107255,,,10745,19,,,,
107255,,,10749,20,,,,
107255,,,10753,21,,,,
107255,,,10902,22,,,,
107255,,,10899,23,,,,
107255,,,10903,24,,,,
107255,07:10:00,07:10:00,10907,25,,,,
