route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
10,GI,10,Parque - H. Sobral Cid,Parque - H. Sobral de Cid,3,
100,GI,100,Portagem - Sé Velha (linha Azul),Portagem - Sé Velha (linha Azul),3,
103,GI,103,Estação Nova - Olivais,Estação Nova - Olivais,3,
10A,GI,10A,Parque - H. Sobral Cid,Parque - H. Sobral Cid,3,
10B,GI,10,Est. Nova - H. Sobral Cid,Est. Nova - H. Sobral Cid,3,
10C,GI,10,Parque - H.sobral Cid (por escola de Ceira),Parque - H.sobral Cid (por escola de Ceira),3,
10F,GI,10F,Beira Rio - H. Sobral Cid,Beira Rio - H. Sobral Cid,3,
11,GI,11,Arnado - B. Norton de Matos,Arnado - B. Norton de Matos,3,
12,GI,12,Beira Rio - Taveiro,Beira Rio - Taveiro,3,
12AA,GI,12A,Beira Rio - Taveiro (p/ Escola),Beira Rio - Taveiro (p/ Escola),3,
12B,GI,12,Beira Rio - Taveiro (p/ St. Eufémia),Beira Rio - Taveiro (p/ St. Eufémia),3,
12R,GI,12R,Beira Rio - Taveiro,Beira Rio - Taveiro,3,
13,GI,13,Beira Rio - Valongo,Beira Rio - Valongo,3,
13B,GI,13,Beira Rio - Valongo (p/ S. Gaio e Inês de Castro),B.rio - Valongo (p/ S. Gaio e Inês de Castro),3,
13P,GI,13P,Beira Rio - São Martinho Piscinas,,3,
13T,GI,13T,Beira Rio - Valongo,Beira Rio - Valongo,3,
14,GI,14,Portagem - S. Martinho do Bispo (por Est. Velha),Portagem - S. Martinho do Bispo (por Est. Velha),3,
14T,GI,14T,Beira Rio - S. Martinho do Bispo (por Covões/forum),Beira Rio - S. Martinho do Bispo (por Covões/forum),3,
16,GI,16,Manutenção - Carapinheira da Serra,Manutenção - Carapinheira da Serra,3,
16A,GI,16,Manutenção-carapinheira (por Solum),Manutenção-carapinheira (por Solum),3,
16F,GI,16F,Manutenção - Carapinheira da Serra,Manutenção - Carapinheira da Serra,3,
16G,GI,16G,Manutenção - Rocha Velha,Manutenção - Rocha Velha,3,
16GA,GI,16G,Portagem - Rocha Velha,Portagem - Rocha Velha,3,
16GB,GI,16G,Manutenção - R.velha (por Solum),Manutenção - R.velha (por Solum),3,
