stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1,1000,Rua do Padrão - Est. Velha,,40.22257,-8.439551
2,1001,Rua Henrique Barros - Quinta do Murtal,,40.254709,-8.427882
3,1002,Rua St. Isabel - Sent. Carvalhais,,40.168269,-8.435414
4,1003,Rua da Chainça - Sent. M. dos Pereiros,,40.167161,-8.434506
5,1004,Rua Nova do Barreiro - Taveiro - Sent. Escola,,40.200105,-8.500362
6,1005,Rua Nova do Barreiro - Taveiro - Sent. Coimbra,,40.19986,-8.500739
7,1006,Rua de Stª Eufémia (paragem 1) - Cimo da Ribeira - Sent. Escola,,40.199495,-8.496693
8,1007,Rua de Stª Eufémia (paragem 1) - Cimo da Ribeira - Sent. Coimbra,,40.199892,-8.496579
9,1008,Rua de Stª Eufémia (paragem 2) - Cimo da Ribeira - Sent. Escola,,40.197887,-8.49616
10,1009,Rua de Stª Eufémia (paragem 2) - Cimo da Ribeira - Sent. Coimbra,,40.198151,-8.496186
11,1010,Rua de Stª Eufémia (paragem 3) - Cimo da Ribeira - Sent. Escola,,40.19541,-8.496132
12,1011,Rua de Stª Eufémia (paragem 3) - Cimo da Ribeira - Sent. Coimbra,,40.19619,-8.496065
13,1012,"Taveiro (esc. B. 2, 3 Taveiro) - sent. desc.",,40.194207,-8.500482
14,1013,E. N. 341 - Ameal (sul) -sent. Arzila,,40.187382,-8.547225
15,1014,E. N. 341 - Arzila (centro) - Sent. Ameal,,40.183824,-8.550542
16,1015,E. N. 341 - Ameal (sul) -sent. Taveiro,,40.187485,-8.546976
17,1016,Rua de Condeixa - Arzila - Sent. Anobra,,40.181723,-8.550062
18,1017,Rua de Condeixa - Arzila - Sent. Coimbra,,40.182286,-8.549986
19,1018,E. N. 341 - Arzila (norte) - Sent. Centro,,40.185307,-8.548925
20,1019,E. N. 341 - Arzila (norte) - Sent. Ameal,,40.185597,-8.548585
21,1020,E. N. 341 - Arzila (centro) - Sent. Cruz. Lameira,,40.183892,-8.550869
22,1021,E. N. 605 - Cruzamento com Rua da Lameira,,40.179306,-8.545028
23,1022,E. N. 341 - Ameal (norte) - Sent. Arzila,,40.191808,-8.53784
24,1023,R. Principal - Ameal (centro) - Sent. Taveiro,,40.190529,-8.543093
25,1024,R. Principal - Ameal (centro) - Sent. Arzila,,40.190626,-8.543202
26,1025,E. N. 341 - Ameal (norte) - Sent. Taveiro,,40.191731,-8.537534
27,1026,E. N. 341 - Ameal - Sent. Arzila,,40.189237,-8.54504
28,1027,E. N. 341 - Ameal - Sent. Taveiro,,40.189361,-8.544791
29,1028,E. M. 605 - Vila Pouca do Campo - Sent. Arzila,,40.195196,-8.527643
30,1029,Vila Pouca do Campo - Junto à Escola,,40.190628,-8.522218
31,1030,E. M.  605 - Vila Pouca do Campo - Sent. Taveiro,,40.195269,-8.527079
32,1031,E. M. 605 - Arneiros - Sent. Taveiro,,40.196228,-8.52318
33,1032,E. M. 605 - Arneiros - Sent. Vila Pouca,,40.196141,-8.523521
34,1033,Rua Combatentes (1)- Vila Pouca - Sent. Taveiro,,40.193535,-8.527668
35,1034,Rua Combatentes (1)- Vila Pouca - Sent. Ameal,,40.193109,-8.527504
36,1035,Vila Pouca - Centro - Sent. Taveiro,,40.190644,-8.52565
37,1036,Vila Pouca - Centro - Sent. Ameal,,40.190632,-8.525904
38,1037,Vila Pouca - Estrada p/ Reveles - Sent. Vila Pouca,,40.190048,-8.518857
39,1038,Vila Pouca - Estrada p/ Reveles - Sent. Coimbra,,40.190004,-8.51905
40,1039,C. M. 116 - Reveles - Sent. Taveiro,,40.19011,-8.516742
41,1040,C. M. 116 - Reveles - Sent. Vila Pouca,,40.189868,-8.51609
42,1041,E. M. 605  - Reveles de Baixo - Sent. Taveiro,,40.199058,-8.517203
43,1042,E. M. 605 - Reveles de Baixo - Sent. Arzila,,40.199076,-8.517516
44,1043,E. N. 1-7 (mercado Abastecedor) - Sent.taveiro,,40.189594,-8.510275
45,1044,C. M. 116 Reveles (cruzamento) - Sent. Taveiro,,40.186352,-8.511432
46,1045,C. M. 116 Reveles (cruzamento) - Sent. Vila Pouca,,40.186461,-8.511457
47,1046,E. N. 1-7 (mercado Abastecedor) - Sent.vila Pouca,,40.189322,-8.510698
48,1047,E. N. 111(cruz. Alcarraques)  - Sent. Coimbra,,40.252379,-8.462594
49,1048,Rua de Coimbra (barreiro) - Sent. Vil Matos,,40.281024,-8.485707
50,1049,Rua de Coimbra (barreiro) - Sent. Coimbra,,40.280863,-8.485405
51,1050,E. N. 110-2 Taveiro (apeadeiro) - Sent. Arzila,,40.203574,-8.500166
52,1052,E.n. 1-7 Taveiro (centro) - Junto à Capela - Sent. Vila Pouca,,40.202351,-8.502364
53,1053,E. N. 1-7 Taveiro (centro) - Junto à Capela - Sent. Coimbra,,40.202386,-8.502248
54,1054,Tores do Mondego - Ladeira do Santo - Sent. Penacova,,40.194791,-8.381279
55,1055,E. M. 537 - Estrada de Eiras (inem) - Sent. Eiras,,40.229045,-8.43702
56,1056,E. M. 537 -estrada de Eiras (inem) - Sent. Centro,,40.228579,-8.437223
57,1057,"Monsenhor Augusto Nunes Pereira, R. - Sent. Bandeiras",,40.201175,-8.404265
58,1058,Taveiro (passagem de Nivel) - Sent. Coimbra,,40.200255,-8.507948
59,1059,E. N. 1-7 Taveiro (sul) - Sent. Vila Pouca,,40.198951,-8.501627
60,1060,E. N. 1-7 Taveiro (sul) - Sent. Taveiro,,40.199094,-8.50146
61,1061,E. N. 110 - 2 Taveiro (apeadeiro) - Sent. Coimbra,,40.203703,-8.499783
62,1062,Taveiro (cemitério) - Sent. Arzila,,40.19975,-8.507331
63,1063,Taveiro - Parque Mondego - Sent. Vila Pouca,,40.191521,-8.508291
64,1064,Taveiro - Parque Mondego - Sent. Coimbra,,40.191699,-8.507938
65,1065,"Taveiro (esc. B. 2, 3 Taveiro) - sent. asc.",,40.194007,-8.500687
66,1066,E. N. 1-7 Taveiro - Rotunda dos Telhões - Sent. Coimbra,,40.194111,-8.505734
67,1067,Taveiro (cruzamento p/ Escola) - Sent. Taveiro,,40.197057,-8.503688
68,1068,Taveiro - (casa da Criança) - Sent. Parq. Mondego,,40.196597,-8.504513
69,1069,Taveiro - Zona Industrial (rotunda) - Sent. Coimbra,,40.198776,-8.507949
70,1070,Taveiro - Parque Mondego (terminus L. 12),,40.191516,-8.50906
71,1071,E. N. 1-7 Taveiro - Rotunda dos Telhões - Sent. Parq. Mondego,,40.194404,-8.50588
72,1072,"Guarda Inglesa, Av. - Estádio Universitário - Sent. Almegue",,40.204917,-8.435785
73,1073,"Guarda Inglesa, Av. - Estádio Universitário - Sent. Portagem",,40.204778,-8.435934
74,1074,Vil de Matos - (centro) - Sent. Pisão,,40.283646,-8.486909
75,1075,Vil de Matos - (centro) - Sent. Adémia,,40.282546,-8.487486
76,1076,Vil de Matos - (norte) - Términus 2t,,40.286748,-8.489514
77,1077,Vil de Matos - Sent. Pisão,,40.285225,-8.487556
78,1078,Vil de Matos - Sent Coimbra,,40.285035,-8.487616
79,1079,Mourelos - sent. Vil Matos,,40.275834,-8.486769
80,1080,Casais (cemitério da Ribeira) - Sent. Taveiro,,40.203322,-8.485597
81,1081,R. Pedro Rodrigues Santos - Rib.de Frades (escola) -  Sent. Coimbra,,40.205104,-8.491179
82,1082,R. Pedro Rodrigues Santos - Rib.de Frades (escola) -  Sent. Taveiro,,40.205281,-8.491247
