route_id,service_id,direction_id,trip_id,shape_id,trip_headsign
50S,Domingos e Feriados,1,4592,11547,Estação Velha
21AB,Domingos e Feriados,0,4541,233,Arzila (C)
21AC,Domingos e Feriados,0,4343,235,Arzila (C)
21AC,Domingos e Feriados,0,4346,235,Arzila (C)
21AC,Domingos e Feriados,0,4356,235,Arzila (C)
21,Dias Úteis,0,990,223,Arzila (C)
21RD,Dias Úteis,0,1330,242,Arzila (C)
21R,Dias Úteis,0,1332,236,Arzila (C)
21RA,Dias Úteis,0,1334,238,Arzila (C)
21C,Dias Úteis,0,1339,227,Arzila (C)
21R,Dias Úteis,0,1341,236,Arzila (C)
21C,Dias Úteis,0,1344,227,Arzila (C)
21R,Dias Úteis,0,1349,236,Arzila (C)
21R,Dias Úteis,0,1354,236,Arzila (C)
21D,Dias Úteis,0,1359,229,Arzila (C)
21RC,Dias Úteis,0,1362,240,Arzila (C)
21RC,Dias Úteis,0,1364,240,Arzila (C)
21,Dias Úteis,0,1368,223,Arzila (C)
21AC,Dias Úteis,0,1572,235,Arzila (C)
21A,Dias Úteis,0,1574,221,Arzila (C)
21R,Dias Úteis,0,1703,236,Arzila (C)
21RD,Sábados,0,2990,242,Arzila (C)
21RD,Sábados,0,3238,242,Arzila (C)
21AC,Sábados,0,3241,235,Arzila (C)
21B,Sábados,0,3243,225,Arzila (C)
21AC,Sábados,0,3249,235,Arzila (C)
21AA,Sábados,0,3252,231,Arzila (C)
21AC,Sábados,0,3254,235,Arzila (C)
21B,Sábados,0,3264,225,Arzila (C)
21AC,Sábados,0,3266,235,Arzila (C)
21RD,Sábados,0,3453,242,Arzila (C)
21RD,Sábados,0,3455,242,Arzila (C)
21RD,Sábados,0,3457,242,Arzila (C)
21AC,Sábados,0,3460,235,Arzila (C)
21AC,Sábados,0,3462,235,Arzila (C)
21AC,Sábados,0,3465,235,Arzila (C)
21AC,Sábados,0,3467,235,Arzila (C)
21TB,Dias Úteis,0,2079,251,R.da Lameira (X)
21TB,Dias Úteis,0,1562,251,R.da Lameira (X)
21TB,Dias Úteis,0,1366,251,R.da Lameira (X)
21T,Dias Úteis,0,1337,246,R.da Lameira (X)
21TC,Dias Úteis,0,1012,253,R.da Lameira (X)
21T,Dias Úteis,0,1014,246,R.da Lameira (X)
32A,Dias Úteis,0,993,350,Vila Pouca 
32,Dias Úteis,0,995,348,Vila Pouca 
32B,Dias Úteis,0,997,349,Vila Pouca 
32B,Dias Úteis,0,1000,349,Vila Pouca 
32,Dias Úteis,0,1003,348,Vila Pouca 
32,Dias Úteis,0,1005,348,Vila Pouca 
32R,Dias Úteis,0,984,353,Vila Pouca 
32RB,Dias Úteis,0,1356,356,Vila Pouca 
32B,Dias Úteis,0,1346,349,Vila Pouca 
32B,Dias Úteis,0,1179,349,Vila Pouca 
32,Dias Úteis,0,1194,348,Vila Pouca 
32,Sábados,0,3270,348,Vila Pouca 
32R,Sábados,0,3225,353,Vila Pouca 
32,Sábados,0,3227,348,Vila Pouca 
32,Domingos e Feriados,0,4352,348,Vila Pouca 
32,Domingos e Feriados,0,4359,348,Vila Pouca 
12R,Sábados,0,3229,11304,P. Mondego
12R,Sábados,0,3231,11304,P. Mondego
12,Sábados,0,3234,11298,P. Mondego
12,Sábados,0,3245,11298,P. Mondego
12,Sábados,0,3247,11298,P. Mondego
12,Sábados,0,3236,11298,P. Mondego
12,Sábados,0,3268,11298,P. Mondego
12,Sábados,0,3390,11298,P. Mondego
12B,Dias Úteis,0,1181,11300,P. Mondego
12AA,Dias Úteis,0,986,11303,P. Mondego
12,Dias Úteis,0,988,11298,P. Mondego
12R,Dias Úteis,0,1008,11304,P. Mondego
12,Dias Úteis,0,1010,11298,P. Mondego
2TB,Dias Úteis,0,860,11787,Vil de Matos (N)
