stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
1903,,Palácio da Justiça,,40.213785,-8.431862,,,0,
1904,,Câmara Municipal,,40.211373,-8.428352,,,0,
1905,,Mercado Municipal,,40.211391,-8.424965,,,0,
1906,,Praça da República,,40.20954,-8.420863,,,0,
1907,,Lourenço Almeida Azevedo,,40.210902,-8.415559,,,0,
1908,,Augusto Rocha,,40.212159,-8.413693,,,0,
1909,,B.C.G.,,40.214538,-8.411444,,,0,
1910,,Instituto de Oncologia,,40.217258,-8.409754,,,0,
1911,,Hospitais da Universidade Este,,40.219966,-8.409496,,,0,
1912,,Afrânio Peixoto 2,,40.219349,-8.407257,,,0,
1913,,Nó dos Olivais,,40.217535,-8.405397,,,0,
1914,,Igreja dos Olivais,,40.217646,-8.403547,,,0,
1915,,São Sebastião,,40.217023,-8.3996,,,0,
1916,,Brigadeiro Correia Cardoso,,40.216146,-8.3973,,,0,
1917,,Tovim,,40.214419,-8.395758,,,0,
1918,,Elísio de Moura 2,,40.212752,-8.396809,,,0,
1919,,Elísio de Moura 3,,40.208024,-8.400101,,,0,
1920,,Escola Eugénio de Castro,,40.207727,-8.402194,,,0,
1921,,Carolina Michaelis,,40.205494,-8.404335,,,0,
1922,,Escola Superior de Educação,,40.205462,-8.406089,,,0,
1923,,Infanta Dona Maria,,40.206299,-8.407461,,,0,
1924,,Humberto Delgado 1,,40.205093,-8.410126,,,0,
1925,,Humberto Delgado 2,,40.204029,-8.413496,,,0,
1926,,São José,,40.202241,-8.410355,,,0,
1927,,Rua do Brasil 1,,40.202033,-8.412062,,,0,
1928,,Rua do Brasil 2,,40.201985,-8.414513,,,0,
1929,,Rua do Brasil 3,,40.201306,-8.417139,,,0,
1930,,Rua do Brasil 4,,40.200136,-8.420089,,,0,
1931,,Ladeira do Batista,,40.200755,-8.422075,,,0,
1932,,Parque Verde do Mondego,,40.203901,-8.424738,,,0,
1933,,Emídio Navarro,,40.204789,-8.425976,,,0,
1934,,Portagem,,40.20765,-8.430205,,,0,
1935,,Loja do Cidadão,,40.211026,-8.432042,,,0,
2334,Feira dos 7 e 23,Feira dos 7 e 23,Marginal do Campo - Feira dos 7 e 23,40.2195,-8.4593,,,0,
2623,Se Velha,Se Velha,Largo da Se Velha,40.2089,-8.4274,,,0,
4753,Praca Dom Dinis,Pr. D. Dinis,Praca D. Dinis - Universidade de Coimbra,40.2082,-8.4228,,,0,
8827,Sao Romao,Sao Romao,,40.2233,-8.4034,,,0,
9130,ARCA ,ARCA,Estr. de ligacao Ingote - Lordemao (ARCA)-Sent. Lordemao,40.2355,-8.417,,,0,
9131,ARCA ,ARCA,Estr. de ligacao Ingote - Lordemao (ARCA) -Sent.Ingote,40.2355,-8.4172,,,0,
9134,Bairro da Liberdade (Cruzamento),B.Liberdade(X),Est. de ligacao Ingote - Lordemao (Bairro da Liberdade - Cruz.) Sent. Ingote,40.233,-8.4269,,,0,
9135,Bairro da Liberdade (Cruzamento),B.Liberdade(X),Est. de ligacao Ingote - Lordemao (Bairro da Liberdade - Cruz.) Sent. ARCA,40.2331,-8.4266,,,0,
9136,Quinta do Melo (Cruzamento),Qta do Melo,Est. de ligacao Ingote - Lordemao (Quinta do Melo - Cruz.) Sent. ARCA,40.23414,-8.421235,,,0,
9137,Quinta do Melo (Cruzamento),Qta do Melo,Est. de ligacao Ingote - Lordemao (Quinta do Melo - Cruz.) Sent. Ingote,40.234153,-8.421653,,,0,
9257,Instituto de Lordemao,Inst. de Lordemao,Estr. de ligacao Ingote - Lordemao (Inst. de Lordemao),40.2356,-8.414,,,0,
10131,Estacao Coimbra B,Estacao Velha,Rua do Padrao 1 - Est. Velha,40.2225,-8.4397,,,0,
10132,Quinta do Murtal,Q. do Murtal,Rua Henrique Barros - Quinta do Murtal,40.2547,-8.4279,,,0,
10133,Rua Santa Isabel,Rua St. Isabel,Rua St. Isabel - Sent. Carvalhais,40.1683,-8.4355,,,0,
10134,Rua da Chainca,Rua da Chainca,Rua da Chainca - Sent. M. dos Pereiros,40.1672,-8.4344,,,0,
10135,Rua Nova do Barreiro,Barreiro,Rua Nova do Barreiro - Taveiro - Sent. Escola,40.2,-8.5003,,,0,
10136,Rua Nova do Barreiro,Barreiro,Rua Nova do Barreiro - Taveiro - Sent. Coimbra,40.1999,-8.5007,,,0,
10137,Santa Eufemia 1,St.Eufemia 1,Rua de Sta Eufemia (Paragem 1) - Cimo da Ribeira - Sent. Escola,40.1995,-8.4966,,,0,
10138,Santa Eufemia 1,St.Eufemia 1,Rua de Sta Eufemia (Paragem 1) - Cimo da Ribeira - Sent. Coimbra,40.1999,-8.4966,,,0,
10139,Santa Eufemia 2,St.Eufemia 2,Rua de Sta Eufemia (Paragem 2) - Cimo da Ribeira - Sent. Escola,40.1979,-8.4961,,,0,
10140,Santa Eufemia 2,St.Eufemia 2,Rua de Sta Eufemia (Paragem 2) - Cimo da Ribeira - Sent. Coimbra,40.1982,-8.4962,,,0,
10141,Santa Eufemia 3,St.Eufemia 3,Rua de Sta Eufemia (Paragem 3) - Cimo da Ribeira - Sent. Escola,40.1954,-8.4961,,,0,
10142,Santa Eufemia 3,St.Eufemia 3,Rua de Sta Eufemia (Paragem 3) - Cimo da Ribeira - Sent. Coimbra,40.1962,-8.496,,,0,
10143,Taveiro (Escola),Taveiro (Escola),Taveiro (Esc. B. 2- 3 Taveiro),40.1942,-8.5005,,,0,
10144,Ameal (Sul),Ameal (S),E. N. 341 - Ameal (Sul) -Sent. Arzila,40.1874,-8.5472,,,0,
10145,Arzila (Centro),Arzila (C),E. N. 341 - Arzila (Centro) - Sent. Ameal,40.1838,-8.5508,,,0,
10146,Ameal (Sul),Ameal (S),E. N. 341 - Ameal (Sul) -Sent. Taveiro,40.1875,-8.547,,,0,
10147,Rua de Condeixa,R.de Condeixa,Rua de Condeixa - Arzila - Sent. Anobra,40.1816,-8.5497,,,0,
10148,Rua de Condeixa,R.de Condeixa,Rua de Condeixa - Arzila - Sent. Coimbra,40.1821,-8.5498,,,0,
10149,Arzila (Norte),Arzila (N),E. N. 341 - Arzila (Norte) - Sent. Centro,40.1853,-8.5489,,,0,
10150,Arzila (Norte),Arzila (N),E. N. 341 - Arzila (Norte) - Sent. Ameal,40.1856,-8.5486,,,0,
10151,Arzila (Centro),Arzila (C),E. N. 341 - Arzila (Centro) - Sent. Cruz. Lameira,40.1838,-8.5509,,,0,
10152,Cruzamento Rua da Lameira,R.da Lameira (X),E. N. 605 - Cruzamento com Rua da Lameira,40.179,-8.5448,,,0,
10153,Ameal  (Norte),Ameal  (N),E. N. 341 - Ameal (Norte) - Sent. Arzila,40.1918,-8.5378,,,0,
10154,Ameal (Centro),Ameal (C),R. Principal - Ameal (Centro) - Sent. Taveiro,40.1906,-8.5431,,,0,
10155,Ameal (Centro),Ameal (C),R. Principal - Ameal (Centro) - Sent. Arzila,40.1906,-8.5432,,,0,
10156,Ameal  (Norte),Ameal (N),E. N. 341 - Ameal (Norte) - Sent. Taveiro,40.1918,-8.5375,,,0,
10157,Ameal,Ameal,E. N. 341 - Ameal - Sent. Arzila,40.1892,-8.545,,,0,
10158,Ameal,Ameal,E. N. 341 - Ameal - Sent. Taveiro,40.1894,-8.5448,,,0,
10159,Vila Pouca ,Vila Pouca (X),E. M. 605 - Vila Pouca do Campo - Sent. Arzila,40.1952,-8.5276,,,0,
10160,Vila Pouca ,Vila Pouca ,Vila Pouca do Campo - Junto a Escola,40.1906,-8.5221,,,0,
10161,Vila Pouca ,Vila Pouca (X),E. M.  605 - Vila Pouca do Campo - Sent. Taveiro,40.1953,-8.5271,,,0,
10162,Arneiros,Arneiros,E. M. 605 - Arneiros - Sent. Taveiro,40.1963,-8.5232,,,0,
10163,Arneiros,Arneiros,E. M. 605 - Arneiros - Sent. Vila Pouca,40.1961,-8.5235,,,0,
10164,Rua Combatentes 1,R.Combatentes 1,Rua Combatentes (1)- Vila Pouca - Sent. Taveiro,40.1935,-8.5277,,,0,
10165,Rua Combatentes 1,R.Combatentes 1,Rua Combatentes (1)- Vila Pouca - Sent. Ameal,40.1931,-8.5275,,,0,
10166,Vila Pouca (Centro),Vila Pouca (C),Vila Pouca - Centro - Sent. Taveiro,40.1906,-8.5256,,,0,
10167,Vila Pouca (Centro),Vila Pouca (C),Vila Pouca - Centro - Sent. Ameal,40.1906,-8.5259,,,0,
10168,Vila Pouca (Este),Vila Pouca (Este),Vila Pouca - Estrada p/ Reveles - Sent. Vila Pouca,40.19,-8.5187,,,0,
10169,Vila Pouca (Este),Vila Pouca (Este),Vila Pouca - Estrada p/ Reveles - Sent. Coimbra,40.1901,-8.5191,,,0,
10170,Reveles,Reveles (C),C. M. 116 - Reveles - Sent. Taveiro,40.1902,-8.5165,,,0,
10171,Reveles,Reveles (C),C. M. 116 - Reveles - Sent. Vila Pouca,40.1902,-8.5166,,,0,
10172,Reveles de Baixo,Reveles Baixo,E. M. 605  - Reveles de Baixo - Sent. Taveiro,40.1991,-8.5172,,,0,
10173,Reveles de Baixo,Reveles Baixo,E. M. 605 - Reveles de Baixo - Sent. Arzila,40.1991,-8.5175,,,0,
10174,Mercado Abastecedor,Mercado,E. N. 1-7 (Mercado Abastecedor) - Sent.Taveiro,40.1896,-8.5103,,,0,
10175,Reveles (Sul),Reveles (X),C. M. 116 Reveles (cruzamento) - Sent. Taveiro,40.1864,-8.5114,,,0,
10176,Reveles (Sul),Reveles (X),C. M. 116 Reveles (cruzamento) - Sent. Vila Pouca,40.1865,-8.5114,,,0,
10177,Mercado Abastecedor,Mercado,E. N. 1-7 (Mercado Abastecedor) - Sent.Vila Pouca,40.1894,-8.5106,,,0,
10178,Cruzamento de Alcarraques,Cz. Alcarraques,E. N. 111(Cruz. Alcarraques)  - Sent. Coimbra ,40.252343,-8.462587,,,0,
10179,Barreiro,R. de Coimbra (Barreiro),Rua de Coimbra (Barreiro) - Sent. Vil Matos,40.281,-8.4856,,,0,
10180,Barreiro,R. de Coimbra (Barreiro),Rua de Coimbra (Barreiro) - Sent. Coimbra,40.2809,-8.4854,,,0,
10181,Taveiro (Apeadeiro),Taveiro (Apeadeiro),E. N. 110-2 Taveiro (Apeadeiro) - Sent. Arzila,40.2037,-8.5,,,0,
10182,Taveiro (Centro),Taveiro (C),E.N. 110-2 Taveiro (Centro) - Junto a Capela - Sent. Coimbra,40.2024,-8.5025,,,0,
10183,Taveiro (Centro),Taveiro (C),E.N. 1-7 Taveiro (Centro) - Junto a Capela - Sent. Vila Pouca,40.2023,-8.5026,,,0,
10184,Taveiro (Centro),Taveiro (C),E. N. 1-7 Taveiro (Centro) - Junto a Capela,40.2026,-8.5024,,,0,
10185,Taveiro (Centro),Taveiro (C),E.N. 110-2 Taveiro (Centro) - Junto a Capela - Sent. Arzila,40.2024,-8.5025,,,0,
10186,Taveiro (Oeste),Taveiro(W),E.N. 110-2 Taveiro(W) - Sent. Arzila,40.2016,-8.5069,,,0,
10187,Taveiro (Oeste),Taveiro(W),E.N. 110-2 Taveiro(W) - Sent. Coimbra,40.2017,-8.5066,,,0,
10188,Monsenhor Nunes Pereira,Mons. Nunes Pereira,Monsenhor Augusto Nunes Pereira- R. - Sent. Bandeiras,40.2012,-8.4042,,,0,
10189,Taveiro (Passagem de Nivel) ,Taveiro (P/N),Taveiro (Passagem de Nivel) - Sent. Coimbra ,40.1998,-8.5078,,,0,
10190,Taveiro (Sul),Taveiro (S),E. N. 1-7 Taveiro (Sul) - Sent. Vila Pouca,40.1989,-8.5015,,,0,
10191,Taveiro (Sul),Taveiro (S),E. N. 1-7 Taveiro (Sul) - Sent. Taveiro,40.1991,-8.5015,,,0,
10192,Taveiro (Apeadeiro),Taveiro (Apeadeiro),E. N. 110 - 2 Taveiro (Apeadeiro) - Sent. Coimbra,40.2038,-8.4998,,,0,
10193,Taveiro (Cemiterio),Taveiro (Cemiterio),Taveiro (Cemiterio) - Sent. Arzila,40.1997,-8.5074,,,0,
10194,Taveiro (Parque Mondego),P. Mondego,Taveiro - Parque Mondego - Sent. Vila Pouca,40.1921,-8.5077,,,0,
10195,Taveiro (Parque Mondego),P. Mondego,Taveiro - Parque Mondego - Sent. Coimbra,40.1924,-8.5073,,,0,
10196,Taveiro (Escola),Taveiro (Escola),Taveiro (Esc. B. 2- 3 Taveiro),40.1941,-8.5005,,,0,
10197,Taveiro (Rotunda dos Telhoes),Taveiro (Rot. Telhoes),E. N. 1-7 Taveiro - Rotunda dos Telhoes - Sent. Coimbra,40.194,-8.5056,,,0,
10198,Taveiro (Cruzamento para a Escola),Taveiro (X-Escola),Taveiro (cruzamento p/ Escola) - Sent. Taveiro,40.1971,-8.5035,,,0,
10199,Taveiro (Casa da Crianca),Taveiro (C.Crianca),Taveiro - (Casa da Crianca) - Sent. Parq. Mondego,40.1964,-8.5046,,,0,
